ID,Holder,Number,EIngebaut (von oben),Position,Formula,Minerale,Description,Comment,Referenz,SiO2,TiO2,Al2O3,Cr2O3,CrO3,Fe2O3,FeO,NiO,MgO,MnO,CaO,Na2O,K2O,H2O,Li2O,BeO,CO2,P2O5,SO3,ClO,V2O5,CoO,ZnO,As2O3,Rb2O,SrO,Y2O3,ZrO2,NbO2,SnO2,Cs2O,BaO,WO3,REE2O3,Sc2O3 ,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,HfO2,PbO,ThO2,UO2,U3O8,Si,Mg,Fe,Ca,B,N,Na,Ni,Ti,Mn,F,Li,S,C,P,Cl,Co,Cu,Zn,An,Cd,Sc,Cr,Pt,Tb,Hf,Nb,Ce,Cs,Ga,Be,Ag,Ru,As,Se,Al,Ge,In,Br,Ir,Mo,Sn,Sb,Dy,Pd,Er,Ta,Re,Sr,Rh,Te,Au,I,O,Hg,La,Tl,Pb,Bi,Ba,V,W,Y,Zr,Total,cps/nA,TAP1,TAPL2,/,TAPL4,/,,PET1,PETL2,PETL3,/,PETH5,,/,/,LIFL3,/,LIFH5,sonstige Kristalle
56,Std 1,29,nein,,,Chromite,Tiebaghi,,"Smithsonian, USNM 117075",,,9.92,60.50,,,13.04,,15.20,0.11,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.89,,,,,,,,,,,,,,,,,,,
57,Std 1,30,nein,,,Magnetite,Minas Gerais,,"Smithsonian, USNM 114887",,0.16,,0.25,,67.50,30.20,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.16,,,,,,,,,,,,,,,,,,,
58,Std 2,1,nein,,,Benitoit,,,"Smithsonian, USNM 86539",43.75,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.15,,,,,,,,,,,,,,,,,,,
59,Std 2,2,nein,,,Quarz,Hot Springs,,"Smithsonian, USNM R17701",99.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90,,,,,,,,,,,,,,,,,,,
60,Std 2,3,nein,,,Korund,Synth.,,"Smithsonian, USNM 6575",,,99.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90,,,,,,,,,,,,,,,,,,,
61,Std 2,4,nein,,,Periklas,,,Dynamit Nobel scan 10.11 10.08,,,,,,,,,99.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90,,,,,,,,,,,,,,,,,,,
62,Std 2,5,nein,,,Chromit,Tiebaghi Mine,,"Smithsonian, USNM 117075",,,9.92,60.50,,,13.04,,15.20,0.11,0.13,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.77,,,,,,,,,,,,,,,,,,,
63,Std 2,6,nein,,,Ilmenit,,,"Smithsonian, USNM 96189",,46.30,,,,,47.09,,0.32,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.54,,,,,,,,,,,,,,,,,,,
64,Std 2,7,nein,,,Magnetit,,,"Smithsonian, USNM 114887",,0.18,,0.16,,67.50,30.20,,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.10,,,,,,,,,,,,,,,,,,,
65,Std 2,8,nein,,,Manganit,,,MPI ,,,,,,,,,,99.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.93,,,,,,,,,,,,,,,,,,,
66,Std 2,9,nein,,,Olivine,San Carlos,,"Smithsonian, USNM 111312/444",40.79,,,,,,9.55,0.37,49.46,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.31,,,,,,,,,,,,,,,,,,,
67,Std 2,10,nein,,,Olivine,Margalakki,,MPI ,40.22,,,,,,11.53,,48.09,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.12,,,,,,,,,,,,,,,,,,,
68,Std 2,11,nein,,,Olivine,Springwater,,"Smithsonian, USNM 2566",38.95,,,0.01,,,16.62,,43.59,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.47,,,,,,,,,,,,,,,,,,,
69,Std 2,12,nein,,,Olivine,Susimaki,,MPI ,35.30,,,,,,38.47,,25.54,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.92,,,,,,,,,,,,,,,,,,,
70,Std 2,13,nein,,,Fayalit,Rockport,,"Smithsonian, USNM 85276",29.26,0.03,,,,,67.64,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.08,,,,,,,,,,,,,,,,,,,
71,Std 2,14,nein,,,Glas,JuanDeFuca,,"Smithsonian, USNM 111240/52",50.91,1.86,14.08,,,,11.86,,6.73,0.22,11.15,2.62,0.19,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.83,,,,,,,,,,,,,,,,,,,
72,Std 2,15,nein,,,Glas,Yellowstone,,"Smithsonian, USNM 77854",76.83,0.12,12.07,,,,1.24,,,0.03,0.50,3.75,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.44,,,,,,,,,,,,,,,,,,,
73,Std 2,16,nein,,,Apatit,,,"Smithsonian, USNM 104021",0.34,,0.08,,,,0.05,,0.02,,54.14,0.23,,,,,,40.87,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.68,,,,,,,,,,,,,,,,,,,
74,Std 2,17,nein,,,Scapolith,,,"Smithsonian, USNM R6600-1",51.04,,25.68,,,,0.17,,,,13.93,5.33,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.64,,,,,,,,,,,,,,,,,,,
75,Std 2,18,nein,,,Hornblende,,,"Smithsonian, USNM 143965",40.80,4.77,15.07,,,,11.04,,12.94,0.09,10.41,2.63,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82,,,,,,,,,,,,,,,,,,,
76,Std 2,19,nein,,,Hypersthen,,,"Smithsonian, USNM 746",54.10,0.17,1.23,0.75,,,15.22,,26.79,0.49,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.27,,,,,,,,,,,,,,,,,,,
77,Std 2,20,nein,,,Augit,Kakanui,,"Smithsonian, USNM 122142",50.85,0.74,7.88,0.15,,,6.78,,16.68,0.13,15.86,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.34,,,,,,,,,,,,,,,,,,,
78,Std 2,21,nein,,,Diopsid,,,"Smithsonian, USNM 117733",54.87,,0.11,,,,0.24,,18.30,0.04,25.63,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.53,,,,,,,,,,,,,,,,,,,
79,Std 2,22,nein,,,Omphazit,Roberts Victor Mine SA,,"Smithsonian, USNM 110607",55.48,0.37,8.91,,,,4.62,,11.59,0.10,13.77,5.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99,,,,,,,,,,,,,,,,,,,
80,Std 2,23,nein,,,Mikroklin,,,"Smithsonian, USNM 143966",64.22,0.02,18.30,,,,0.04,,0.03,0.04,0.02,1.29,15.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.10,,,,,,,,,,,,,,,,,,,
81,Std 2,24,nein,,,Anorthoklas,Kakanui,,"Smithsonian, USNM 133868",66.44,,20.12,,,,0.21,,,,0.87,9.31,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.30,,,,,,,,,,,,,,,,,,,
82,Std 2,25,nein,,,Anorthit,,,"Smithsonian, USNM 137041",44.00,0.03,36.03,,,,0.62,,,,19.08,0.53,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.33,,,,,,,,,,,,,,,,,,,
83,Std 2,26,nein,,,Plagioklas,,,"Smithsonian, USNM 115800",51.31,0.03,30.94,,,,0.45,,0.13,,13.66,3.45,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.15,,,,,,,,,,,,,,,,,,,
84,Std 2,27,nein,,,Granat,Victroia Mine,,"Smithsonian, USNM 110752",40.23,0.35,22.75,,,,11.33,,7.18,0.19,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.18,,,,,,,,,,,,,,,,,,,
85,Std 2,28,nein,,,Granat,Victroia Mine,,"Smithsonian, USNM 87375",39.57,0.38,22.33,,,,16.30,,6.57,0.60,14.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.17,,,,,,,,,,,,,,,,,,,
86,Std 2,29,nein,,,Pyrop,Kakanui,,"Smithsonian, USNM 143968",41.46,0.47,23.73,,,,10.68,,18.52,0.28,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.32,,,,,,,,,,,,,,,,,,,
87,Std 2,30,nein,,,Enstatit,,,,59.98,,0.13,,,,,,39.96,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.32,,,,,,,,,,,,,,,,,,,
88,Std 2,31,nein,,,Pyrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.21,,,,,,0.12,,,,53.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.93,,,,,,,,,,,,,,,,,,,
89,Std 2,32,nein,,,NiFe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.72,,,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
90,Std 2,33,nein,,,Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99,,,,,,,,,,,,,,,,,,,
91,Astimex,1,ja,,NaAlSi3O8,Albit,,,Astimex,68.76,,19.76,,,,,,,,0.23,11.68,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.60,,,,,,,,,,,,,,,,,,,
92,Astimex,2,ja,,Fe3Al2Si3O12,Almandine,,Caution: shows small invlusions that are easily recognizable and avoidable by BSE imaging,Astimex,39.15,0.06,22.71,,,,23.87,,10.15,0.55,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.50,,,,,,,,,,,,,,,,,,,
93,Astimex,3,ja,,CaSO4,Anhydride,,,Astimex,,,,,,,,,,,41.13,,,,,,,,58.34,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.08,,,,,,,,,,,,,,,,,,,
94,Astimex,4,ja,,Sb2Te3,Animony,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.88,,,,,,,,61.12,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
95,Astimex,5,ja,,Ca5(PO4)3F,Apatite,,,Astimex,0.04,,,,,,,,,,54.68,,,0.20,,,,40.87,0.39,,,,,,,0.28,0.06,,,,,,,,,0.14,0.29,0.05,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.13,,,,,,,,,,,,,,,,,,,
96,Astimex,6,ja,,FeAsS,Arsenopyrite,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.16,,,,,,,,,,19.28,,,,0.02,,,,,,,,,,,,,,,,,46.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.56,,,,,,,,,,,,,,,,,,,
97,Astimex,7,ja,,BaSO4,Barite,,,Astimex,,,,,,,,,,,,,,,,,,,35.21,,,,,,,,,,,,,64.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.15,,,,,,,,,,,,,,,,,,,
98,Astimex,8,ja,,BaTiSi3O9,Benitoite,,Caution: contains inclusions of diopside and rutile (easily visible in BSE imaging). Benitoite is used only for centering and focusing the electron beam and calibrating the Barium-Titanium spectral overlap. It is not useful standard to calibrate either barium or titanium,Astimex,45.34,19.10,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,34.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.48,,,,,,,,,,,,,,,,,,,
99,Astimex,9,ja,,"K(Mg,Fe)3AlSi3O10(OH)2",Biotite,,,Astimex,38.31,1.57,15.98,,,,10.03,,19.67,,,,10.06,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.47,,,,,,,,,,,,,,,,,,,
100,Astimex,10,ja,,Bi2Se3,Bismuth Selenide,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.17,,,,,,,,,,,,,,,,,,,,,,,,63.83,,,,,,100.00,,,,,,,,,,,,,,,,,,,
101,Astimex,11,ja,,BN,Boron Nitride,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.60,56.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.04,,,,,,,,,,,,,,,,,,,
102,Astimex,12,ja,,CaMnSi2O6,Bustamite,,,Astimex,48.44,,,,,,8.13,,0.24,24.15,19.05,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.28,,,,,,,,,,,,,,,,,,,
103,Astimex,13,ja,,CaCO3,Calcite,,,Astimex,,,,,,,,,,,56.31,,,,,,43.87,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.23,,,,,,,,,,,,,,,,,,,
104,Astimex,14,ja,,SnO2,Cassiterite,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90,,,,,,,,,,,,,,,,,,,
105,Astimex,15,ja,,SrSO4,Celestite,,,Astimex,0.08,,,,,,,,,,0.09,,,,,,,,43.39,,,,,,,56.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.57,,,,,,,,,,,,,,,,,,,
106,Astimex,16,ja,,CuFeS2,Chalcopyrite,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.48,,,,,,,,,,35.14,,,,,34.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.81,,,,,,,,,,,,,,,,,,,
107,Astimex,17,ja,,Mg6AlSi3O10(OH)8,Chlorite,,,Astimex,32.16,,14.87,2.25,,,3.41,0.22,33.55,,,,,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.22,,,,,,,,,,,,,,,,,,,
108,Astimex,18,ja,,"(Mg,Cr)CaSi2O6",Chrome-Diopside,,,Astimex,54.92,0.09,0.30,0.55,,,1.28,,17.72,,24.67,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.94,,,,,,,,,,,,,,,,,,,
109,Astimex,19,ja,,FeCr2O4,Chromite,,,Astimex,0.14,0.12,23.56,45.42,,,12.91,0.16,16.78,,,,,,,,,,,,0.16,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.29,,,,,,,,,,,,,,,,,,,
110,Astimex,20,ja,,HgS,Cinnabar,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.29,,,,,,,,,,98.79,,,,,,,,,,,,,,,,,,,
111,Astimex,21,ja,,PbCrO4,Crocoite,,,Astimex,0.09,,,,30.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.23,,,,,,,,,,,,,,,,,,,
112,Astimex,22,ja,,MgCaSi2O6,Diopside,,,Astimex,55.34,,0.62,,,,0.83,,17.76,,24.80,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.76,,,,,,,,,,,,,,,,,,,
