ID,Holder,Number,EIngebaut (von oben),Position,Formula,Minerale,Description,Comment,Referenz,SiO2,TiO2,Al2O3,Cr2O3,CrO3,Fe2O3,FeO,NiO,MgO,MnO,CaO,Na2O,K2O,H2O,Li2O,BeO,CO2,P2O5,SO3,ClO,V2O5,CoO,ZnO,As2O3,Rb2O,SrO,Y2O3,ZrO2,NbO2,SnO2,Cs2O,BaO,WO3,REE2O3,Sc2O3 ,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,HfO2,PbO,ThO2,UO2,U3O8,Si,Mg,Fe,Ca,B,N,Na,Ni,Ti,Mn,F,Li,S,C,P,Cl,Co,Cu,Zn,An,Cd,Sc,Cr,Pt,Tb,Hf,Nb,Ce,Cs,Ga,Be,Ag,Ru,As,Se,Al,Ge,In,Br,Ir,Mo,Sn,Sb,Dy,Pd,Er,Ta,Re,Sr,Rh,Te,Au,I,O,Hg,La,Tl,Pb,Bi,Ba,V,W,Y,Zr,Total,cps/nA,TAP1,TAPL2,/,TAPL4,/,,PET1,PETL2,PETL3,/,PETH5,,/,/,LIFL3,/,LIFH5,sonstige Kristalle
113,Astimex,23,ja,,MgCa(CO3)2,Dolomite,,Caution: presence of trace interstitial minerals containing Al and Si,Astimex,,,,,,,0.15,,21.66,,30.39,,,,,,47.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.88,,,,,,,,,,,,,,,,,,,
114,Astimex,24,ja,,PbS,Galena,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.34,,,,,,,99.85,,,,,,,,,,,,,,,,,,,
115,Astimex,25,ja,,GaAs,Gallium Arsenide,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.20,,,,51.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
116,Astimex,26,ja,,Fe2O3,Hematite,,,Astimex,,,,,,99.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.97,,,,,,,,,,,,,,,,,,,
117,Astimex,27,ja,,NaAlSi2O6,Jadeite,,"Caution: used as a calibration standard for Na since it is the mineral least susceptible to Na-mobility. Inhomogeneous in respect to Fe and Mg, do not use as a calibration standards for Fe or Mg",Astimex,59.45,,25.04,,,,0.15,,0.26,,0.39,14.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06,,,,,,,,,,,,,,,,,,,
118,Astimex,28,ja,,"Ca2Na(Mg,Fe)4TiSi6Al2O22(OH)2",Kaersutite,,,Astimex,41.49,5.03,11.91,,,,11.29,,12.67,0.16,11.40,2.62,1.01,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.77,,,,,,,,,,,,,,,,,,,
119,Astimex,29,ja,,Fe3O4,Magnetite,,,Astimex,0.03,,,,,99.34,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.61,,,,,,,,,,,,,,,,,,,
120,Astimex,30,ja,,MoS2,Moybdenite,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.29,,,,,,,,,,,,,,,,,,,,,,,,99.13,,,,,,,,,,,,,,,,,,,
121,Astimex,31,ja,,"(REEThCa)1(P,Si)O4",Monazite,,,Astimex,1.72,,,,,,,,,,0.90,,,,,,,27.04,,,,,,,,,2.00,,,,,,,,,9.48,25.04,2.97,11.00,3.20,0.12,2.56,0.40,0.92,,0.15,,,,,0.30,11.80,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.80,,,,,,,,,,,,,,,,,,,
122,Astimex,32,ja,,"Na,K,Al,Fe silicate glass",Obsidian,,,Astimex,76.29,0.10,13.03,,,,0.76,,0.11,0.05,0.88,3.74,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.27,,,,,,,,,,,,,,,,,,,
123,Astimex,33,ja,,"(Mg,Fe)2SiO4",Olivine,,,Astimex,41.01,,,,,,8.17,0.35,50.44,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.09,,,,,,,,,,,,,,,,,,,
124,Astimex,34,ja,,KAlSi3O8,Orthoclase,,,Astimex,64.80,,16.74,,,2.01,,,,,,0.91,15.49,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.95,,,,,,,,,,,,,,,,,,,
125,Astimex,35,ja,,"(Fe,Ni)9S8",Pentlandite,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.61,30.88,,,,,,,,,,32.89,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.81,,,,,,,,,,,,,,,,,,,
126,Astimex,36,ja,,MgO,Periclase,,,Astimex,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
127,Astimex,37,ja,,"(Ca,Na)(Al,Si)4O8",Plagioclase,,,Astimex,53.12,,29.35,,,,0.34,,0.10,,11.93,4.36,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.44,,,,,,,,,,,,,,,,,,,
128,Astimex,38,ja,,CsSi2AlO6,Pollucite,,,Astimex,47.46,,17.12,,,,,,,,,2.03,0.18,,0.11,,,,,,,,,,0.18,,,,,,34.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.30,,,,,,,,,,,,,,,,,,,
129,Astimex,39,ja,,FeS2,Pyrite,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.30,,,,,,,,,,53.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.71,,,,,,,,,,,,,,,,,,,
130,Astimex,40,ja,,Mg3Al2Si3O12,Pyrope,,,Astimex,41.43,0.50,21.58,2.06,,,8.76,,20.35,0.31,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.34,,,,,,,,,,,,,,,,,,,
131,Astimex,41,ja,,SiO2,Quartz,,,Astimex,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
132,Astimex,42,ja,,MnSiO3,Rhodonite,,,Astimex,46.78,,,,,,4.34,,1.95,42.30,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
133,Astimex,43,ja,,RbTiPO5,RBtiPO5,,,Astimex,,32.70,,,,,,,,,,,,,,,,29.05,,,,,,,38.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.01,,,,,,,,,,,,,,,,,,,
134,Astimex,44,ja,,TiO2,Rutile,,,Astimex,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
135,Astimex,45,ja,,ZnS,Sphalerite,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,32.91,,,,,,67.07,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
136,Astimex,46,ja,,LiAlSi2O6,Spodumene,,,Astimex,64.23,,27.28,,,,,,,,,0.12,,,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.61,,,,,,,,,,,,,,,,,,,
137,Astimex,47,ja,,Sb2S3,Stibnite,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.68,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
138,Astimex,48,ja,,Tl(Br0.42I0.58),Thallium Bromide,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,,,,,,,,,,,,,,23.63,,,,65.60,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
139,Astimex,49,ja,,"Al2SiO4(F,OH)2",Topaz,,"Als Oxid würde zu viel O als F dazugerechnet werden; Best standard for fluorine since unlike minerals like fluorite, it does not suffer fluorine loss under the electron beam; Caution: may have small inclusion of other minerals",Astimex,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.51,,,,,,,,,,18.40,,,,,,,,,,,,,,,,,,,,,,,,,30.39,,,,,,,,,,,,,,,,,,35.80,,,,,,,,,,,99.75,,,,,,,,,,,,,,,,,,,
140,Astimex,50,ja,,Na4BeAlSi4O12Cl,Tugtupite,,Als Oxid würde zu viel O als F dazugerechnet werden,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.95,,,,,,19.01,,,,,,,,,7.57,,,,,,,,,,,,,,,1.88,,,,,5.76,,,,,,,,,,,,,,,,,,40.67,,,,,,,,,,,98.84,,,,,,,,,,,,,,,,,,,
141,Astimex,51,ja,,"(Zn,Mn)2SiO4",Willemite,,"Willemite is used to center and focus the electron beam. It can also be used as a calibration standard for Zn, but not for Mg",Astimex,28.30,,,,,,0.02,,,5.95,,,,,,,,,,,,,66.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.39,,,,,,,,,,,,,,,,,,,
142,Astimex,52,ja,,Y3Al5O12,YttriumAlGrt,,,Astimex,,,42.95,,,,,,,,,,,,,,,,,,,,,,,,57.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.01,,,,,,,,,,,,,,,,,,,
143,Astimex,53,ja,,ZrO2,Zircona,,,Astimex,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25,79.93,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.96,,,,,,,,,,,,,,,,,,,
144,REE1,,nein,,ScPO4,,,,"Smithsonian, USNM 168495",,,,,,,,,,,,,,,,,,50.72,,,,,,,,,,,,,,,,,48.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
145,REE1,,nein,,YPO4,,,,"Smithsonian, USNM 168499",,,,,,,,,,,,,,,,,,38.60,,,,,,,,,61.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
146,REE1,,nein,,LaPO4,,,,"Smithsonian, USNM 168490",,,,,,,,,,,,,,,,,,30.35,,,,,,,,,,,,,,,,,,69.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
147,REE1,,nein,,CePO4,,,,"Smithsonian, USNM 168484",,,,,,,,,,,,,,,,,,30.19,,,,,,,,,,,,,,,,,,,69.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
148,REE1,,nein,,PrPO4,,,,"Smithsonian, USNM 168493",,,,,,,,,,,,,,,,,,30.09,,,,,,,,,,,,,,,,,,,,69.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
149,REE1,,nein,,NdPO4,,,,"Smithsonian, USNM 168492",,,,,,,,,,,,,,,,,,29.67,,,,,,,,,,,,,,,,,,,,,70.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
150,REE1,,nein,,SmPO4,,,,"Smithsonian, USNM 168494",,,,,,,,,,,,,,,,,,28.93,,,,,,,,,,,,,,,,,,,,,,71.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
151,REE1,,nein,,EuPO4,,,,"Smithsonian, USNM 168487",,,,,,,,,,,,,,,,,,28.74,,,,,,,,,,,,,,,,,,,,,,,71.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
152,REE1,,nein,,GdPO4,,,,"Smithsonian, USNM 168488",,,,,,,,,,,,,,,,,,28.14,,,,,,,,,,,,,,,,,,,,,,,,71.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
153,REE1,,nein,,TbPO4,,,,"Smithsonian, USNM 168496",,,,,,,,,,,,,,,,,,27.95,,,,,,,,,,,,,,,,,,,,,,,,,72.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
154,REE1,,nein,,DyPO4,,,,"Smithsonian, USNM 168485",,,,,,,,,,,,,,,,,,27.56,,,,,,,,,,,,,,,,,,,,,,,,,,72.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
155,REE1,,nein,,HoPO4,,,,"Smithsonian, USNM 168489",,,,,,,,,,,,,,,,,,27.31,,,,,,,,,,,,,,,,,,,,,,,,,,,72.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
156,REE1,,nein,,ErPO4,,,,"Smithsonian, USNM 168486",,,,,,,,,,,,,,,,,,27.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
157,REE1,,nein,,TmPO4,,,,"Smithsonian, USNM 168497",,,,,,,,,,,,,,,,,,26.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
158,REE1,,nein,,YbPO4,,,,"Smithsonian, USNM 168498",,,,,,,,,,,,,,,,,,26.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
159,REE1,,nein,,LuPO4,,,,"Smithsonian, USNM 168491",,,,,,,,,,,,,,,,,,26.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
160,NBS-metals,,ja,,Ag,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
161,NBS-metals,,ja,,Al,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
162,NBS-metals,,ja,,An,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
163,NBS-metals,,ja,,As,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
164,NBS-metals,,ja,,B,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
165,NBS-metals,,ja,,BaWO4,,,stöchiometrisch berechnet,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.53,58.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
166,NBS-metals,,ja,,Be,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
167,NBS-metals,,ja,,Bi,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,100.00,,,,,,,,,,,,,,,,,,,
168,NBS-metals,,ja,,C,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
169,NBS-metals,,ja,,CaF2,,,stöchiometrisch berechnet,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.33,,,,,,,48.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
170,NBS-metals,,ja,,CaWO4,,,stöchiometrisch berechnet,"NIST, NBS",,,,,,,,,,,19.48,,,,,,,,,,,,,,,,,,,,,,80.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
